Date,Sum of GME,Sum of Gamestop,Sum of hold_the_line,Sum of to_the_moon,Sum of sum
1/5/2021,68,4,2,28,102
1/6/2021,85,5,0,46,136
1/7/2021,45,5,0,55,105
1/8/2021,76,8,0,50,134
1/9/2021,39,17,0,34,90
1/10/2021,20,10,0,8,38
1/11/2021,136,38,2,37,213
1/12/2021,78,7,0,49,134
1/13/2021,754,42,9,90,895
1/14/2021,902,50,10,135,1097
1/15/2021,232,30,2,60,324
1/16/2021,244,26,4,29,303
1/17/2021,340,29,5,50,424
1/18/2021,569,56,9,75,709
1/19/2021,873,57,28,165,1123
1/20/2021,227,18,5,30,280
1/21/2021,633,70,16,127,846
1/22/2021,2291,186,46,316,2839
1/23/2021,1208,126,20,140,1494
1/24/2021,1035,92,5,154,1286
1/25/2021,422,41,2,60,525
1/26/2021,1219,114,30,270,1633
1/27/2021,122,10,6,31,169
1/28/2021,28586,2763,2925,4784,39058
1/29/2021,4831,763,407,1360,7361
1/30/2021,5740,1029,268,912,7949
1/31/2021,2615,405,136,480,3636
